text,label
oral infection and swelling,Dentistry

panic attacks and fear,Psychiatry
mental stress and anxiety,Psychiatry
trouble sleeping at night,Psychiatry
feeling low and hopeless,Psychiatry
emotional imbalance,Psychiatry

chills with fever,General Medicine
infection causing weakness,General Medicine
body ache and fatigue,General Medicine
loss of strength,General Medicine
mild infection symptoms,General Medicine
